File name,Contains,Buzz,Social,Date & time
Batlife_Ottenby_2022-02-14_04-31-11_0000158.wav,-,-,S,20220214 04:31
Batlife_Ottenby_2022-02-14_07-48-20_0000159.wav,-,-,S,20220214 07:48
Batlife_Ottenby_2022-02-14_17-27-50_0000160.wav,-,-,S,20220214 17:27
Batlife_Ottenby_2022-02-15_19-00-16_0000161.wav,-,-,S,20220215 19:00
Batlife_Ottenby_2022-02-16_00-08-21_0000162.wav,-,-,S,20220216 00:08
Batlife_Ottenby_2022-02-16_01-10-03_0000163.wav,-,-,S,20220216 01:10
Batlife_Ottenby_2022-02-16_02-42-44_0000164.wav,-,-,S,20220216 02:42
Batlife_Ottenby_2022-02-16_02-52-30_0000165.wav,-,-,S,20220216 02:52
Batlife_Ottenby_2022-02-21_18-15-05_0000166.wav,-,-,S,20220221 18:15
Batlife_Ottenby_2022-02-21_18-30-46_0000167.wav,-,-,S,20220221 18:30
Batlife_Ottenby_2022-02-21_18-41-01_0000168.wav,-,-,S,20220221 18:41
Batlife_Ottenby_2022-02-22_06-41-27_0000169.wav,-,-,S,20220222 06:41
Batlife_Ottenby_2022-02-25_05-31-08_0000170.wav,-,-,S,20220225 05:31
Batlife_Ottenby_2022-02-25_05-50-54_0000171.wav,-,-,S,20220225 05:50
Batlife_Ottenby_2022-03-05_01-48-15_0000172.wav,-,-,S,20220305 01:48
Batlife_Ottenby_2022-03-12_04-52-23_0000173.wav,-,-,S,20220312 04:52
Batlife_Ottenby_2022-03-12_04-52-28_0000174.wav,-,-,S,20220312 04:52
Batlife_Ottenby_2022-03-12_04-52-33_0000175.wav,-,-,S,20220312 04:52
Batlife_Ottenby_2022-03-21_06-04-40_0000176.wav,-,-,S,20220321 06:04
Batlife_Ottenby_2022-03-29_05-37-53_0000177.wav,-,-,S,20220329 05:37
Batlife_Ottenby_2022-03-29_20-26-01_0000178.wav,-,-,S,20220329 20:26
Batlife_Ottenby_2022-03-30_19-15-39_0000179.wav,-,-,S,20220330 19:15
Batlife_Ottenby_2022-04-05_05-14-50_0000180.wav,-,-,S,20220405 05:14
Batlife_Ottenby_2022-04-05_20-03-29_0000181.wav,-,-,S,20220405 20:03
Batlife_Ottenby_2022-04-05_20-05-07_0000182.wav,-,-,S,20220405 20:05
Batlife_Ottenby_2022-04-05_20-13-36_0000183.wav,-,-,S,20220405 20:13
Batlife_Ottenby_2022-04-05_20-45-23_0000184.wav,-,-,S,20220405 20:45
Batlife_Ottenby_2022-04-05_21-12-17_0000185.wav,-,-,S,20220405 21:12
Batlife_Ottenby_2022-04-05_22-44-15_0000186.wav,-,-,S,20220405 22:44
Batlife_Ottenby_2022-04-07_05-30-10_0000187.wav,-,-,S,20220407 05:30
Batlife_Ottenby_2022-04-11_23-01-02_0000188.wav,Myotis sp. (Myotisart),-,-,20220411 23:01
Batlife_Ottenby_2022-04-11_23-01-07_0000189.wav,-,-,S,20220411 23:01
Batlife_Ottenby_2022-04-12_06-02-48_0000190.wav,-,-,S,20220412 06:02
Batlife_Ottenby_2022-04-12_06-04-55_0000191.wav,-,-,S,20220412 06:04
Batlife_Ottenby_2022-04-12_19-55-25_0000192.wav,-,-,S,20220412 19:55
Batlife_Ottenby_2022-04-12_21-31-52_0000193.wav,Myotis sp. (Myotisart),-,-,20220412 21:31
Batlife_Ottenby_2022-04-12_21-31-57_0000194.wav,-,-,S,20220412 21:31
Batlife_Ottenby_2022-04-13_20-43-54_0000195.wav,-,-,S,20220413 20:43
Batlife_Ottenby_2022-04-14_06-05-21_0000196.wav,-,-,S,20220414 06:05
Batlife_Ottenby_2022-04-15_19-38-48_0000197.wav,-,-,S,20220415 19:38
Batlife_Ottenby_2022-04-16_06-03-48_0000198.wav,-,-,S,20220416 06:03
Batlife_Ottenby_2022-04-17_05-37-02_0000199.wav,-,-,S,20220417 05:37
Batlife_Ottenby_2022-04-18_20-26-38_0000200.wav,-,-,S,20220418 20:26
Batlife_Ottenby_2022-04-18_20-28-10_0000201.wav,-,-,S,20220418 20:28
Batlife_Ottenby_2022-04-18_20-40-04_0000202.wav,-,-,S,20220418 20:40
Batlife_Ottenby_2022-04-19_05-45-40_0000203.wav,-,-,S,20220419 05:45
Batlife_Ottenby_2022-04-19_05-45-45_0000204.wav,-,-,S,20220419 05:45
Batlife_Ottenby_2022-04-19_23-23-36_0000205.wav,Myotis sp. (Myotisart),-,-,20220419 23:23
Batlife_Ottenby_2022-04-19_23-23-40_0000206.wav,-,-,S,20220419 23:23
Batlife_Ottenby_2022-04-20_19-46-00_0000207.wav,-,-,S,20220420 19:46
Batlife_Ottenby_2022-04-20_20-09-52_0000208.wav,-,-,S,20220420 20:09
Batlife_Ottenby_2022-04-20_20-10-47_0000209.wav,-,-,S,20220420 20:10
Batlife_Ottenby_2022-04-20_20-15-17_0000210.wav,-,-,S,20220420 20:15
Batlife_Ottenby_2022-04-20_20-15-52_0000211.wav,-,-,S,20220420 20:15
Batlife_Ottenby_2022-04-20_22-40-29_0000212.wav,-,-,S,20220420 22:40
Batlife_Ottenby_2022-04-21_19-43-23_0000213.wav,-,-,S,20220421 19:43
Batlife_Ottenby_2022-04-21_22-15-11_0000214.wav,-,-,S,20220421 22:15
Batlife_Ottenby_2022-04-22_05-13-46_0000215.wav,-,-,S,20220422 05:13
Batlife_Ottenby_2022-04-22_05-30-39_0000216.wav,-,-,S,20220422 05:30
Batlife_Ottenby_2022-04-23_20-27-56_0000217.wav,-,-,S,20220423 20:27
Batlife_Ottenby_2022-04-23_23-47-20_0000218.wav,-,-,S,20220423 23:47
Batlife_Ottenby_2022-04-24_20-01-08_0000219.wav,-,-,S,20220424 20:01
Batlife_Ottenby_2022-04-24_20-18-15_0000220.wav,-,-,S,20220424 20:18
Batlife_Ottenby_2022-04-24_21-33-03_0000221.wav,-,-,S,20220424 21:33
Batlife_Ottenby_2022-04-25_21-18-59_0000222.wav,-,-,S,20220425 21:18
Batlife_Ottenby_2022-04-25_23-20-11_0000223.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,-,20220425 23:20
Batlife_Ottenby_2022-04-25_23-20-16_0000224.wav,-,-,S,20220425 23:20
Batlife_Ottenby_2022-04-26_22-29-59_0000225.wav,Pipistrellus pygmaeus (Dvärgpipistrell),B,-,20220426 22:29
Batlife_Ottenby_2022-04-26_22-30-04_0000226.wav,-,-,S,20220426 22:30
Batlife_Ottenby_2022-04-27_04-25-21_0000227.wav,-,-,S,20220427 04:25
Batlife_Ottenby_2022-04-27_04-25-25_0000228.wav,-,-,S,20220427 04:25
Batlife_Ottenby_2022-04-29_04-57-09_0000229.wav,-,-,S,20220429 04:57
Batlife_Ottenby_2022-04-29_21-14-49_0000230.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,-,20220429 21:14
Batlife_Ottenby_2022-04-29_21-14-54_0000231.wav,-,-,S,20220429 21:14
Batlife_Ottenby_2022-04-29_21-37-00_0000232.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,-,20220429 21:37
Batlife_Ottenby_2022-04-29_21-37-04_0000233.wav,-,-,S,20220429 21:37
Batlife_Ottenby_2022-04-29_23-08-25_0000234.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,-,20220429 23:08
Batlife_Ottenby_2022-04-29_23-08-30_0000235.wav,-,-,S,20220429 23:08
Batlife_Ottenby_2022-04-30_04-45-41_0000236.wav,Vespertilio murinus (Gråskimlig fladdermus),-,-,20220430 04:45
Batlife_Ottenby_2022-04-30_04-45-46_0000237.wav,-,-,S,20220430 04:45
Batlife_Ottenby_2022-04-30_21-13-47_0000238.wav,-,-,S,20220430 21:13
Batlife_Ottenby_2022-04-30_22-03-37_0000239.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,S,20220430 22:03
Batlife_Ottenby_2022-04-30_22-03-42_0000240.wav,-,-,S,20220430 22:03
Batlife_Ottenby_2022-04-30_22-21-48_0000241.wav,Pipistrellus nathusii (Trollpipistrell),-,-,20220430 22:21
Batlife_Ottenby_2022-04-30_22-21-53_0000242.wav,-,-,S,20220430 22:21
Batlife_Ottenby_2022-04-30_22-41-06_0000243.wav,Myotis sp. (Myotisart),-,-,20220430 22:41
Batlife_Ottenby_2022-04-30_23-01-58_0000244.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,-,20220430 23:01
Batlife_Ottenby_2022-04-30_23-02-03_0000245.wav,-,-,S,20220430 23:02
Batlife_Ottenby_2022-05-01_00-42-12_0000246.wav,Pipistrellus nathusii (Trollpipistrell),-,-,20220501 00:42
Batlife_Ottenby_2022-05-01_00-42-16_0000247.wav,-,-,S,20220501 00:42
Batlife_Ottenby_2022-05-01_05-05-34_0000248.wav,-,-,S,20220501 05:05
Batlife_Ottenby_2022-05-01_05-05-39_0000249.wav,-,-,S,20220501 05:05
Batlife_Ottenby_2022-05-01_05-05-58_0000250.wav,-,-,S,20220501 05:05
Batlife_Ottenby_2022-05-01_05-06-03_0000251.wav,-,-,S,20220501 05:06
Batlife_Ottenby_2022-05-01_21-16-12_0000252.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,-,20220501 21:16
Batlife_Ottenby_2022-05-01_21-16-17_0000253.wav,Pipistrellus pygmaeus (Dvärgpipistrell),B,-,20220501 21:16
Batlife_Ottenby_2022-05-01_21-48-13_0000254.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,S,20220501 21:48
Batlife_Ottenby_2022-05-01_21-48-17_0000255.wav,-,-,S,20220501 21:48
Batlife_Ottenby_2022-05-01_21-52-58_0000256.wav,Pipistrellus nathusii (Trollpipistrell),-,-,20220501 21:52
Batlife_Ottenby_2022-05-01_21-53-02_0000257.wav,-,-,-,20220501 21:53
Batlife_Ottenby_2022-05-01_21-53-08_0000258.wav,-,-,S,20220501 21:53
Batlife_Ottenby_2022-05-01_21-58-48_0000259.wav,-,-,S,20220501 21:58
Batlife_Ottenby_2022-05-01_22-21-52_0000260.wav,-,-,S,20220501 22:21
Batlife_Ottenby_2022-05-01_22-21-57_0000261.wav,-,-,S,20220501 22:21
Batlife_Ottenby_2022-05-01_22-22-56_0000262.wav,-,-,S,20220501 22:22
Batlife_Ottenby_2022-05-01_22-23-01_0000263.wav,-,-,S,20220501 22:23
Batlife_Ottenby_2022-05-01_22-41-44_0000264.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,-,20220501 22:41
Batlife_Ottenby_2022-05-01_22-41-48_0000265.wav,-,-,S,20220501 22:41
Batlife_Ottenby_2022-05-01_22-42-22_0000266.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,-,20220501 22:42
Batlife_Ottenby_2022-05-01_22-42-27_0000267.wav,-,-,S,20220501 22:42
Batlife_Ottenby_2022-05-01_22-46-38_0000268.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,-,20220501 22:46
Batlife_Ottenby_2022-05-01_22-46-43_0000269.wav,-,-,S,20220501 22:46
